number,fact_fragment,fact_statement,was_submitted
17,"the least random number, according to the Hackers' Jargon File","17 is the least random number, according to the Hackers' Jargon File.",False
17,a repunit prime in hexadecimal (11),17 is a repunit prime in hexadecimal (11).,False
17,"the first number that can be written as the sum of a positive cube and a positive square in two different ways; that is, the smallest n such that x3 + y2 = n has two different solutions for x and y positive integers","17 is the first number that can be written as the sum of a positive cube and a positive square in two different ways; that is, the smallest n such that x3 + y2 = n has two different solutions for x and y positive integers.",False
16,"the first number to be the aliquot sum of a lesser number; 12, it is also the aliquot sum of the greater number; the discrete semiprime, 26","16 is the first number to be the aliquot sum of a lesser number; 12, it is also the aliquot sum of the greater number; the discrete semiprime, 26.",False
16,"the only integer that equals mn and nm, for some unequal integers m and n (m = 4, n = 2, or vice versa)","16 is the only integer that equals mn and nm, for some unequal integers m and n (m = 4, n = 2, or vice versa).",False
16,a centered pentagonal number,16 is a centered pentagonal number.,False
16,"the base of the hexadecimal number system, which is used extensively in computer science","16 is the base of the hexadecimal number system, which is used extensively in computer science.",False
19,the 8th smallest prime number,19 is the 8th smallest prime number.,False
19,the seventh Mersenne prime exponent,19 is the seventh Mersenne prime exponent.,False
19,"a centered triangular number, centered hexagonal number and a Heegner number","19 is a centered triangular number, centered hexagonal number and a Heegner number.",False
18,"a composite number, its proper divisors being 1, 2, 3, 6 and 9","18 is a composite number, its proper divisors being 1, 2, 3, 6 and 9.",False
18,"a heptagonal number, and as the sum of the first three pentagonal numbers, it is a pentagonal pyramidal number","18 is a heptagonal number, and as the sum of the first three pentagonal numbers, it is a pentagonal pyramidal number.",False
48,"a double factorial of 6, a highly composite number","48 is a double factorial of 6, a highly composite number.",False
48,in abundance having an aliquot sum of 76,48 is in abundance having an aliquot sum of 76.,False
48,the smallest number with exactly ten divisors,48 is the smallest number with exactly ten divisors.,False
48,in base 10 a Harshad number,48 is in base 10 a Harshad number.,False
49,the square of seven and is therefore the fourth squared prime number,49 is the square of seven and is therefore the fourth squared prime number.,False
49,the 8th composite number in the 7-aliquot tree,49 is the 8th composite number in the 7-aliquot tree.,False
49,the first square where the digits are squares,49 is the first square where the digits are squares.,False
49,"in the Padovan sequence, preceded by the terms 21, 28, 37 (it is the sum of the first two of these)","49 is in the Padovan sequence, preceded by the terms 21, 28, 37 (it is the sum of the first two of these).",False
46,"a Wedderburn-Etherington number, an enneagonal number and a centered triangular number","46 is a Wedderburn-Etherington number, an enneagonal number and a centered triangular number.",False
46,the 13th semiprime,46 is the 13th semiprime.,False
47,"the fifteenth prime number, a safe prime, the thirteenth supersingular prime, and the sixth Lucas prime","47 is the fifteenth prime number, a safe prime, the thirteenth supersingular prime, and the sixth Lucas prime.",False
47,a Lucas number,47 is a Lucas number.,False
47,a strictly non-palindromic number,47 is a strictly non-palindromic number.,False
47,a Carol number,47 is a Carol number.,False
44,"a tribonacci number, a happy number, an octahedral number and a palindromic number","44 is a tribonacci number, a happy number, an octahedral number and a palindromic number.",False
44,the number of derangements of 5 items,44 is the number of derangements of 5 items.,False
45,"a triangular number, a hexagonal and 16-gonal number, a Kaprekar number, and a Harshad number","45 is a triangular number, a hexagonal and 16-gonal number, a Kaprekar number, and a Harshad number.",False
45,"the sixth positive integer with a prime factorization of the form p2q, with p and q being prime","45 is the sixth positive integer with a prime factorization of the form p2q, with p and q being prime.",False
42,a pronic number and an abundant number; its prime factorization 2 · 3 · 7 makes it the second sphenic number and also the second of the form { 2 · 3 · r },42 is a pronic number and an abundant number; its prime factorization 2 · 3 · 7 makes it the second sphenic number and also the second of the form { 2 · 3 · r }.,False
42,the product of the first three terms of Sylvester's sequence; like the first five such numbers it is also a primary pseudoperfect number,42 is the product of the first three terms of Sylvester's sequence; like the first five such numbers it is also a primary pseudoperfect number.,False
42,a Catalan number,42 is a Catalan number.,False
42,the reciprocal of the sixth Bernoulli number,42 is the reciprocal of the sixth Bernoulli number.,False
42,"conjectured to be the scaling factor in the leading order term of the ""sixth moment of the Riemann zeta function""","42 is conjectured to be the scaling factor in the leading order term of the ""sixth moment of the Riemann zeta function"".",False
42,the third pentadecagonal number,42 is the third pentadecagonal number.,False
42,a Størmer number,42 is a Størmer number.,False
42,a perfect score on the USA Math Olympiad (USAMO) and International Mathematical Olympiad (IMO),42 is a perfect score on the USA Math Olympiad (USAMO) and International Mathematical Olympiad (IMO).,False
43,the 14th smallest prime number,43 is the 14th smallest prime number.,False
43,"the fourth term of Sylvester's sequence, one more than the product of the previous terms (2 × 3 × 7)","43 is the fourth term of Sylvester's sequence, one more than the product of the previous terms (2 × 3 × 7).",False
43,a centered heptagonal number,43 is a centered heptagonal number.,False
43,a Heegner number,43 is a Heegner number.,False
43,a repdigit in base 6 (111),43 is a repdigit in base 6 (111).,False
43,the largest natural number that is not an (original) McNugget number,43 is the largest natural number that is not an (original) McNugget number.,False
40,"an octagonal number, and as the sum of the first four pentagonal numbers, it is a pentagonal pyramidal number","40 is an octagonal number, and as the sum of the first four pentagonal numbers, it is a pentagonal pyramidal number.",False
40,the number of n-queens problem solutions for n = 7,40 is the number of n-queens problem solutions for n = 7.,False
40,a repdigit in base 3 (1111) and a Harshad number in base 10,40 is a repdigit in base 3 (1111) and a Harshad number in base 10.,False
41,the 13th smallest prime number,41 is the 13th smallest prime number.,False
41,"also the 12th supersingular prime, a Sophie Germain prime and a Newman–Shanks–Williams prime","41 is also the 12th supersingular prime, a Sophie Germain prime and a Newman–Shanks–Williams prime.",False
41,"the sum of two squares, 42 + 52","41 is the sum of two squares, 42 + 52.",False
41,the smallest integer whose reciprocal has a 5-digit repetend,41 is the smallest integer whose reciprocal has a 5-digit repetend.,False
41,a centered square number,41 is a centered square number.,False
1,"the first figurate number of every kind, such as triangular number, pentagonal number and centered hexagonal number, to name just a few","1 is the first figurate number of every kind, such as triangular number, pentagonal number and centered hexagonal number, to name just a few.",False
1,also the first and second numbers in the Fibonacci sequence and is the first number in many other mathematical sequences,1 is also the first and second numbers in the Fibonacci sequence and is the first number in many other mathematical sequences.,False
1,"the most common leading digit in many sets of data, a consequence of Benford's law","1 is the most common leading digit in many sets of data, a consequence of Benford's law.",False
5,the third prime number,5 is the third prime number.,False
5,"the second Sierpinski number of the first kind, and can be written as S2=(22)+1","5 is the second Sierpinski number of the first kind, and can be written as S2=(22)+1.",False
5,also the number of Platonic solids,5 is also the number of Platonic solids.,False
9,"a composite number, its proper divisors being 1 and 3","9 is a composite number, its proper divisors being 1 and 3.",False
9,the highest single-digit number in the decimal system,9 is the highest single-digit number in the decimal system.,False
9,"the sum of the digits of 41 is 5, and 41-5 = 36","9 is the sum of the digits of 41 is 5, and 41-5 = 36.",False
9,this works regardless of the number of digits that are transposed,9 is this works regardless of the number of digits that are transposed.,False
77,the 22nd discrete biprime and the first of the (7.q) family,77 is the 22nd discrete biprime and the first of the (7.q) family.,False
77,"the sum of three squares, 42 + 52 + 62, as well as the sum of the first eight prime numbers","77 is the sum of three squares, 42 + 52 + 62, as well as the sum of the first eight prime numbers.",False
77,a aliquot sum of 19 and it is the second number to do so the first being 65,77 is a aliquot sum of 19 and it is the second number to do so the first being 65.,False
77,the number of digits of the 12th perfect number,77 is the number of digits of the 12th perfect number.,False
76,"a Lucas number, an automorphic number, a nontotient, a 14-gonal number, and a centered pentagonal number","76 is a Lucas number, an automorphic number, a nontotient, a 14-gonal number, and a centered pentagonal number.",False
74,the twenty-first distinct semiprime and the eleventh of the form 2×q,74 is the twenty-first distinct semiprime and the eleventh of the form 2×q.,False
74,a nontotient,74 is a nontotient.,False
73,the 21st prime number,73 is the 21st prime number.,False
73,the largest minimal Primitive root in the first 100000 primes,73 is the largest minimal Primitive root in the first 100000 primes.,False
73,the smallest prime congruent to 1 modulo 24,73 is the smallest prime congruent to 1 modulo 24.,False
73,the only prime repunit in base 8 (1118),73 is the only prime repunit in base 8 (1118).,False
72,"the sum of four consecutive primes (13 + 17 + 19 + 23), as well as the sum of six consecutive primes (5 + 7 + 11 + 13 + 17 + 19)","72 is the sum of four consecutive primes (13 + 17 + 19 + 23), as well as the sum of six consecutive primes (5 + 7 + 11 + 13 + 17 + 19).",False
71,"the algebraic degree of Conway's constant, a remarkable number arising in the study of look-and-say sequences","71 is the algebraic degree of Conway's constant, a remarkable number arising in the study of look-and-say sequences.",False
71,the 20th prime number,71 is the 20th prime number.,False
71,a centered heptagonal number,71 is a centered heptagonal number.,False
79,an odd number,79 is an odd number.,False
79,the smallest number that can't be represented as a sum of fewer than 19 fourth powers,79 is the smallest number that can't be represented as a sum of fewer than 19 fourth powers.,False
79,a strictly non-palindromic number,79 is a strictly non-palindromic number.,False
79,the 22nd prime number (the next is 83),79 is the 22nd prime number (the next is 83).,False
79,the smallest prime number p for which the real quadratic field Q has class number greater than 1 (namely 3),79 is the smallest prime number p for which the real quadratic field Q has class number greater than 1 (namely 3).,False
79,a cousin prime with 83,79 is a cousin prime with 83.,False
79,a fortunate prime,79 is a fortunate prime.,False
79,a prime number that is also a Gaussian prime (since it is of the form 4n + 3),79 is a prime number that is also a Gaussian prime (since it is of the form 4n + 3).,False
79,a happy prime,79 is a happy prime.,False
79,a Higgs prime,79 is a Higgs prime.,False
79,a Kynea prime ((2n + 1)2 − 2),79 is a Kynea prime ((2n + 1)2 − 2).,False
79,a lucky prime,79 is a lucky prime.,False
79,"a permutable prime, with ninety-seven","79 is a permutable prime, with ninety-seven.",False
79,"a Pillai prime, because 23!","79 is a Pillai prime, because 23!.",False
79,a regular prime,79 is a regular prime.,False
79,"a prime in a residue classes 4n+3, 8n+7, and 10n+9","79 is a prime in a residue classes 4n+3, 8n+7, and 10n+9.",False
79,"a right-truncatable prime, because when the last digit (9) is removed, the remaining number (7) is still prime","79 is a right-truncatable prime, because when the last digit (9) is removed, the remaining number (7) is still prime.",False
79,a sexy prime (with 73),79 is a sexy prime (with 73).,False
79,the n value of the Wagstaff prime 201487636602438195784363,79 is the n value of the Wagstaff prime 201487636602438195784363.,False
78,"a triangular number, and its factorization makes it a sphenic number","78 is a triangular number, and its factorization makes it a sphenic number.",False
133,an n whose divisors (excluding n itself) added up divide φ(n),133 is an n whose divisors (excluding n itself) added up divide φ(n).,False
133,"a repdigit in base 11 (111), whilst in base 20 it is a cyclic number formed from the reciprocal of the number three","133 is a repdigit in base 11 (111), whilst in base 20 it is a cyclic number formed from the reciprocal of the number three.",False
132,the sixth Catalan number,132 is the sixth Catalan number.,False
131,"a Sophie Germain prime, the second 3-digit palindromic prime, and also a permutable prime with 113 and 311","131 is a Sophie Germain prime, the second 3-digit palindromic prime, and also a permutable prime with 113 and 311.",False
131,a full reptend prime in base 10,131 is a full reptend prime in base 10.,False
130,a sphenic number,130 is a sphenic number.,False
130,the largest number that cannot be written as the sum of four hexagonal numbers,130 is the largest number that cannot be written as the sum of four hexagonal numbers.,False
137,a strictly non-palindromic number and a primeval number,137 is a strictly non-palindromic number and a primeval number.,False
137,the fifth harmonic number is,137 is the fifth harmonic number is.,False
136,itself a factor of the Eddington number,136 is itself a factor of the Eddington number.,False
136,"a triangular number, a centered triangular number and a centered nonagonal number","136 is a triangular number, a centered triangular number and a centered nonagonal number.",False
136,a self-descriptive number in base 4,136 is a self-descriptive number in base 4.,False
136,the sum of the first 16 positive integers,136 is the sum of the first 16 positive integers.,False
135,this number in base 10 can be expressed in operations using its own digits in at least two different ways,135 is this number in base 10 can be expressed in operations using its own digits in at least two different ways.,False
135,a Harshad number,135 is a Harshad number.,False
139,"the 34th prime number, so it is divisible only by itself and 1","139 is the 34th prime number, so it is divisible only by itself and 1.",False
139,this number is the sum of five consecutive prime numbers (19 + 23 + 29 + 31 + 37),139 is this number is the sum of five consecutive prime numbers (19 + 23 + 29 + 31 + 37).,False
139,"the smallest factor of 64079, the smallest composite Lucas number with a prime index","139 is the smallest factor of 64079, the smallest composite Lucas number with a prime index.",False
139,a strictly non-palindromic number,139 is a strictly non-palindromic number.,False
138,the sum of four consecutive primes (29 + 31 + 37 + 41),138 is the sum of four consecutive primes (29 + 31 + 37 + 41).,False
138,"the smallest product of 3 primes, such that in base 10, the third prime is a concatenation of the other two","138 is the smallest product of 3 primes, such that in base 10, the third prime is a concatenation of the other two.",False
138,the third 47-gonal number,138 is the third 47-gonal number.,False
138,an Ulam number (Sloane's A002858),138 is an Ulam number (Sloane's A002858).,False
120,"the factorial of 5, and the sum of a twin prime pair (59 + 61)","120 is the factorial of 5, and the sum of a twin prime pair (59 + 61).",False
120,"the eighth hexagonal number and the fifteenth triangular number, as well as the sum of the first eight triangular numbers, making it also a tetrahedral number","120 is the eighth hexagonal number and the fifteenth triangular number, as well as the sum of the first eight triangular numbers, making it also a tetrahedral number.",False
120,"the first multiply perfect number of order three (a 3-perfect number, triperfect)","120 is the first multiply perfect number of order three (a 3-perfect number, triperfect).",False
120,"divisible by the number of primes below it, 30 in this case","120 is divisible by the number of primes below it, 30 in this case.",False
120,a Harshad number in base 10,120 is a Harshad number in base 10.,False
121,a square and is the sum of three consecutive primes (37 + 41 + 43),121 is a square and is the sum of three consecutive primes (37 + 41 + 43).,False
121,also a star number and a centered octagonal number,121 is also a star number and a centered octagonal number.,False
123,a Lucas number,123 is a Lucas number.,False
124,the sum of eight consecutive primes (5 + 7 + 11 + 13 + 17 + 19 + 23 + 29),124 is the sum of eight consecutive primes (5 + 7 + 11 + 13 + 17 + 19 + 23 + 29).,False
125,the cube of 5,125 is the cube of 5.,False
126,"a pentagonal pyramidal number, and a decagonal number as well as a pentatope number","126 is a pentagonal pyramidal number, and a decagonal number as well as a pentatope number.",False
126,an abundant number,126 is an abundant number.,False
127,"also a cuban prime of the form p = (x3 − y3) / (x − y), x = y + 1","127 is also a cuban prime of the form p = (x3 − y3) / (x − y), x = y + 1.",False
127,a centered hexagonal number,127 is a centered hexagonal number.,False
127,the 7th Motzkin number,127 is the 7th Motzkin number.,False
128,the seventh power of 2,128 is the seventh power of 2.,False
128,the only 3-digit number that is a 7th power,128 is the only 3-digit number that is a 7th power.,False
129,the sum of the first ten prime numbers,129 is the sum of the first ten prime numbers.,False
129,a repdigit in base 6 (333),129 is a repdigit in base 6 (333).,False
129,a happy number,129 is a happy number.,False
199,an odd number,199 is an odd number.,False
199,a centered triangular number,199 is a centered triangular number.,False
199,a centered 33-gonal number,199 is a centered 33-gonal number.,False
199,a Lucas number,199 is a Lucas number.,False
199,a square-free number,199 is a square-free number.,False
199,an odious number,199 is an odious number.,False
198,an even number,198 is an even number.,False
198,a composite number,198 is a composite number.,False
198,"a Harshad number, divisible by the sum of its digits","198 is a Harshad number, divisible by the sum of its digits.",False
198,a practical number,198 is a practical number.,False
198,a self number,198 is a self number.,False
198,between the twin prime pair of 197 and 199,198 is between the twin prime pair of 197 and 199.,False
198,a 67-gonal number,198 is a 67-gonal number.,False
195,an odd number,195 is an odd number.,False
195,a composite number,195 is a composite number.,False
195,a Harshad number,195 is a Harshad number.,False
195,a lucky number,195 is a lucky number.,False
195,"a sphenic number, in the middle of the prime quadruplet 191, 193, 197 and 199","195 is a sphenic number, in the middle of the prime quadruplet 191, 193, 197 and 199.",False
195,a square-free number,195 is a square-free number.,False
195,the smallest number expressed as a sum of distinct squares in 16 different ways (sequence A097563 in OEIS),195 is the smallest number expressed as a sum of distinct squares in 16 different ways (sequence A097563 in OEIS).,False
195,both a 21-gonal and 66-gonal number,195 is both a 21-gonal and 66-gonal number.,False
194,an even number,194 is an even number.,False
194,a composite number,194 is a composite number.,False
194,the smallest Markov number that is neither a Fibonacci number nor a Pell number,194 is the smallest Markov number that is neither a Fibonacci number nor a Pell number.,False
194,an odious number,194 is an odious number.,False
194,a square-free number,194 is a square-free number.,False
194,the smallest number written as the sum of three squares in five ways,194 is the smallest number written as the sum of three squares in five ways.,False
197,an odd number,197 is an odd number.,False
197,"a centered heptagonal number, a centered figurate number that represents a heptagon with a dot in the center and all other dots surrounding the center dot in successive heptagonal layers","197 is a centered heptagonal number, a centered figurate number that represents a heptagon with a dot in the center and all other dots surrounding the center dot in successive heptagonal layers.",False
197,a Keith or repfigit number,197 is a Keith or repfigit number.,False
197,a square-free number,197 is a square-free number.,False
197,a super Catalan number,197 is a super Catalan number.,False
197,an Ulam number,197 is an Ulam number.,False
196,an even number,196 is an even number.,False
196,a composite number,196 is a composite number.,False
196,a heptagonal pyramidal number,196 is a heptagonal pyramidal number.,False
196,an odious number,196 is an odious number.,False
196,a pentagonal pyramidal number,196 is a pentagonal pyramidal number.,False
196,a powerful number,196 is a powerful number.,False
196,a practical number,196 is a practical number.,False
196,a square number (142),196 is a square number (142).,False
196,an 11-gonal number,196 is an 11-gonal number.,False
196,an 34-gonal number,196 is an 34-gonal number.,False
196,a Lychrel number is a natural number which cannot form a palindromic number through the iterative process of repeatedly reversing its base 10 digits and adding the resulting numbers,196 is a Lychrel number is a natural number which cannot form a palindromic number through the iterative process of repeatedly reversing its base 10 digits and adding the resulting numbers.,False
191,an odd number,191 is an odd number.,False
191,a centered 19-gonal number,191 is a centered 19-gonal number.,False
191,an odious number,191 is an odious number.,False
191,a square-free number,191 is a square-free number.,False
191,a Thabit number,191 is a Thabit number.,False
191,a undulating number,191 is a undulating number.,False
190,an even number,190 is an even number.,False
190,a centered nonagonal number,190 is a centered nonagonal number.,False
190,a composite number,190 is a composite number.,False
190,a happy number,190 is a happy number.,False
190,a Harshad number or Niven number divisible by the sum of its digits,190 is a Harshad number or Niven number divisible by the sum of its digits.,False
190,a hexagonal number,190 is a hexagonal number.,False
190,a sphenic number,190 is a sphenic number.,False
190,a square free number,190 is a square free number.,False
190,a triangular number,190 is a triangular number.,False
190,a 33-gonal number,190 is a 33-gonal number.,False
193,an odd number,193 is an odd number.,False
193,a centered 32-gonal number,193 is a centered 32-gonal number.,False
193,a happy number,193 is a happy number.,False
193,a lucky number,193 is a lucky number.,False
193,an odious number,193 is an odious number.,False
193,a square-free number,193 is a square-free number.,False
193,the most accurate approximation of Euler's Number (e) such that both the numerator and the denominator are integers less than 200 (approx,193 is the most accurate approximation of Euler's Number (e) such that both the numerator and the denominator are integers less than 200 (approx.,False
192,an even number,192 is an even number.,False
192,the sum of ten consecutive primes (5 + 7 + 11 + 13 + 17 + 19 + 23 + 29 + 31 + 37),192 is the sum of ten consecutive primes (5 + 7 + 11 + 13 + 17 + 19 + 23 + 29 + 31 + 37).,False
192,"a composite number, having as its factors 2 × 2 × 2 × 2 × 2 × 2 × 3","192 is a composite number, having as its factors 2 × 2 × 2 × 2 × 2 × 2 × 3.",False
115,a heptagonal pyramidal number and a lucky number,115 is a heptagonal pyramidal number and a lucky number.,False
114,"an abundant number, a sphenic number and a Harshad number","114 is an abundant number, a sphenic number and a Harshad number.",False
114,a repdigit in base 7 (222),114 is a repdigit in base 7 (222).,False
117,the smallest possible length of the longest side of a Heronian tetrahedron (one whose sides are all rational numbers),117 is the smallest possible length of the longest side of a Heronian tetrahedron (one whose sides are all rational numbers).,False
117,a pentagonal number,117 is a pentagonal number.,False
116,"a noncototient, meaning that there is no solution to the equation m − φ(m) = n, where φ stands for Euler's totient function","116 is a noncototient, meaning that there is no solution to the equation m − φ(m) = n, where φ stands for Euler's totient function.",False
111,a perfect totient number,111 is a perfect totient number.,False
111,also the magic constant of the n-Queens Problem for n = 6,111 is also the magic constant of the n-Queens Problem for n = 6.,False
110,a sphenic number and a pronic number,110 is a sphenic number and a pronic number.,False
110,the side of the smallest square that can be tiled with distinct integer-sided squares,110 is the side of the smallest square that can be tiled with distinct integer-sided squares.,False
113,"the 30th prime number, following 109 and preceding 127, a Sophie Germain prime, a Chen prime and a Proth prime as it is a prime number of the form 7 × 24 + 1","113 is the 30th prime number, following 109 and preceding 127, a Sophie Germain prime, a Chen prime and a Proth prime as it is a prime number of the form 7 × 24 + 1.",False
113,a highly cototient number and a centered square number,113 is a highly cototient number and a centered square number.,False
112,an abundant number and a heptagonal number,112 is an abundant number and a heptagonal number.,False
112,in base 10 both a Harshad number,112 is in base 10 both a Harshad number.,False
119,"a Perrin number, preceded in the sequence by 51, 68, 90 (it is the sum of the first two mentioned)","119 is a Perrin number, preceded in the sequence by 51, 68, 90 (it is the sum of the first two mentioned).",False
119,the sum of five consecutive primes (17 + 19 + 23 + 29 + 31),119 is the sum of five consecutive primes (17 + 19 + 23 + 29 + 31).,False
119,the order of the largest cyclic subgroups of the Monster group,119 is the order of the largest cyclic subgroups of the Monster group.,False
119,the smallest composite number that is 1 less than a factorial (120 is 5!,119 is the smallest composite number that is 1 less than a factorial (120 is 5!.,False
108,the hyperfactorial of 3 since it is of the form ,108 is the hyperfactorial of 3 since it is of the form .,False
108,"a number that is divisible by the value of its φ function, which is 36","108 is a number that is divisible by the value of its φ function, which is 36.",False
108,the equation results in the Golden ratio,108 is the equation results in the Golden ratio.,False
109,"the 29th prime number, and also a Chen prime","109 is the 29th prime number, and also a Chen prime.",False
109,"the smallest factor of one more than the product of the first twenty-three terms of the Euclid–Mullin sequence, making it the twenty-fourth term","109 is the smallest factor of one more than the product of the first twenty-three terms of the Euclid–Mullin sequence, making it the twenty-fourth term.",False
109,the smallest number which is palindromic in bases 5 and 9,109 is the smallest number which is palindromic in bases 5 and 9.,False
102,an abundant number and semiperfect number,102 is an abundant number and semiperfect number.,False
103,the 27th prime number,103 is the 27th prime number.,False
103,a strictly non-palindromic number,103 is a strictly non-palindromic number.,False
101,the 26th prime number and a palindromic number (and so a palindromic prime),101 is the 26th prime number and a palindromic number (and so a palindromic prime).,False
101,the sum of five consecutive primes (13 + 17 + 19 + 23 + 29),101 is the sum of five consecutive primes (13 + 17 + 19 + 23 + 29).,False
101,a centered decagonal number,101 is a centered decagonal number.,False
106,the thirty-first distinct biprime and the fifteenth of the form (2.q),106 is the thirty-first distinct biprime and the fifteenth of the form (2.q).,False
107,the 28th prime number,107 is the 28th prime number.,False
105,"a triangular number, a 12-gonal number and a Zeisel number","105 is a triangular number, a 12-gonal number and a Zeisel number.",False
105,"also a number n for which n − 2k is prime, for 0 < k < log2(n)","105 is also a number n for which n − 2k is prime, for 0 < k < log2(n).",False
105,the smallest integer such that the factorization of xn − 1 over Q includes coefficients other than ,105 is the smallest integer such that the factorization of xn − 1 over Q includes coefficients other than .,False
179,an odd number,179 is an odd number.,False
179,a Gaussian number,179 is a Gaussian number.,False
179,an odious number,179 is an odious number.,False
179,a square-free number,179 is a square-free number.,False
179,a strictly non-palindromic number,179 is a strictly non-palindromic number.,False
178,an even number,178 is an even number.,False
178,a composite number,178 is a composite number.,False
178,"a semiprime, a product of two primes, namely 2 and 89","178 is a semiprime, a product of two primes, namely 2 and 89.",False
178,a square-free number,178 is a square-free number.,False
178,a 31-gonal number,178 is a 31-gonal number.,False
178,"a digitally balanced number, as its binary number (10110010) has an equal number of zeros and ones","178 is a digitally balanced number, as its binary number (10110010) has an equal number of zeros and ones.",False
177,an odd number,177 is an odd number.,False
177,a composite number,177 is a composite number.,False
177,a Leyland number since it can be expressed as 27 + 72,177 is a Leyland number since it can be expressed as 27 + 72.,False
177,a square-free number,177 is a square-free number.,False
177,a Ulam number,177 is a Ulam number.,False
177,a 60-gonal number,177 is a 60-gonal number.,False
177,the magic constant of a magic square using only Chen primes,177 is the magic constant of a magic square using only Chen primes.,False
177,the smallest magic constant for a 3 x 3 prime magic square,177 is the smallest magic constant for a 3 x 3 prime magic square.,False
176,an even number,176 is an even number.,False
176,a cake number,176 is a cake number.,False
176,a composite number,176 is a composite number.,False
176,an octagonal number,176 is an octagonal number.,False
176,an odious number,176 is an odious number.,False
176,a pentagonal number,176 is a pentagonal number.,False
176,a practical number,176 is a practical number.,False
176,a self number,176 is a self number.,False
175,an odd number,175 is an odd number.,False
175,a composite number,175 is a composite number.,False
175,"a decagonal number, a figurate number that represents a decagon","175 is a decagonal number, a figurate number that represents a decagon.",False
175,an ulam number,175 is an ulam number.,False
175,"a Zuckerman number, as it is divisible by the product of its digits, 35","175 is a Zuckerman number, as it is divisible by the product of its digits, 35.",False
175,a 19-gonal Number,175 is a 19-gonal Number.,False
175,a centered 29-gonal number,175 is a centered 29-gonal number.,False
175,the magic constant of the n×n normal magic square and n-Queens Problem for n = 7,175 is the magic constant of the n×n normal magic square and n-Queens Problem for n = 7.,False
174,an even number,174 is an even number.,False
174,an abundant number with the abundance of 12,174 is an abundant number with the abundance of 12.,False
174,a composite number,174 is a composite number.,False
174,a nontotient number,174 is a nontotient number.,False
174,an odious number,174 is an odious number.,False
174,a square-free number,174 is a square-free number.,False
174,a 59-gonal number,174 is a 59-gonal number.,False
173,an odd number,173 is an odd number.,False
173,a balanced prime,173 is a balanced prime.,False
173,a deficient number,173 is a deficient number.,False
173,an Eisenstein prime with no imaginary part,173 is an Eisenstein prime with no imaginary part.,False
173,an Odious number,173 is an Odious number.,False
173,a prime number,173 is a prime number.,False
173,a Sophie Germain prime,173 is a Sophie Germain prime.,False
173,"a square-free number, divisible by no perfect square","173 is a square-free number, divisible by no perfect square.",False
172,an even number,172 is an even number.,False
172,a composite number,172 is a composite number.,False
172,a deficient number,172 is a deficient number.,False
172,a noncototient integer,172 is a noncototient integer.,False
172,the sum of Euler's totient function φ(x) over the first twenty-three integers,172 is the sum of Euler's totient function φ(x) over the first twenty-three integers.,False
172,a repdigit in base 6 (444),172 is a repdigit in base 6 (444).,False
172,an integer of the Lazy caterer's sequence,172 is an integer of the Lazy caterer's sequence.,False
171,an odd number,171 is an odd number.,False
171,a composite number,171 is a composite number.,False
171,a deficient number,171 is a deficient number.,False
171,"a Harshad number, divisible by the sum of its digits","171 is a Harshad number, divisible by the sum of its digits.",False
171,a palindromic number that remains the same when its digits are reversed,171 is a palindromic number that remains the same when its digits are reversed.,False
171,a polygonal number,171 is a polygonal number.,False
171,a repdigit in base 7 (333),171 is a repdigit in base 7 (333).,False
171,a triangular number,171 is a triangular number.,False
171,an undulating number,171 is an undulating number.,False
171,a 13-gonal and 58-gonal number,171 is a 13-gonal and 58-gonal number.,False
170,the smallest n for which φ(n) and σ(n) are both square(64 and 324 respectively),170 is the smallest n for which φ(n) and σ(n) are both square(64 and 324 respectively).,False
182,an even number,182 is an even number.,False
182,"a composite number, as it is a positive integer with a positive divisor other than one or itself","182 is a composite number, as it is a positive integer with a positive divisor other than one or itself.",False
182,an odious number,182 is an odious number.,False
182,"a pronic number, oblong number or heteromecic number, a number which is the product of two consecutive integers (13 × 14)","182 is a pronic number, oblong number or heteromecic number, a number which is the product of two consecutive integers (13 × 14).",False
182,"a repdigit in the D'ni numeral system (77), and in base 9 (222)","182 is a repdigit in the D'ni numeral system (77), and in base 9 (222).",False
182,"a sphenic number, the product of three prime factors","182 is a sphenic number, the product of three prime factors.",False
182,a square-free number,182 is a square-free number.,False
182,an ulam number,182 is an ulam number.,False
183,an odd number,183 is an odd number.,False
183,"a central polygonal number, n2 − n + 1, where n = 14 ( A002061)","183 is a central polygonal number, n2 − n + 1, where n = 14 ( A002061).",False
183,a composite number,183 is a composite number.,False
183,a perfect totient number equal to the sum of its iterated totients,183 is a perfect totient number equal to the sum of its iterated totients.,False
183,a repdigit number in base 13 (111),183 is a repdigit number in base 13 (111).,False
183,"a semiprime number, (also called biprime, or 2-almost prime, or pq number), a natural number that is the product of two prime numbers","183 is a semiprime number, (also called biprime, or 2-almost prime, or pq number), a natural number that is the product of two prime numbers.",False
183,a square-free number,183 is a square-free number.,False
183,a number of points in projective plane over the Galois field GF(13),183 is a number of points in projective plane over the Galois field GF(13).,False
183,a 62-gonal number,183 is a 62-gonal number.,False
180,a 61-gonal number,180 is a 61-gonal number.,False
180,"a Harshad number in base 10, and in binary it is a digitally balanced number, since its binary representation has the same number of zeros as ones (10110100)","180 is a Harshad number in base 10, and in binary it is a digitally balanced number, since its binary representation has the same number of zeros as ones (10110100).",False
181,an odd number,181 is an odd number.,False
181,an odious number,181 is an odious number.,False
